source_measurement_id,pmcid,original_measurement_type,original_pH,original_value_std,verdict,rules,rule_names,note,evidence_quote
BMA3AAF6B915,PMC9104356,temperature optimum,8.0,40.0,KEEP,PH-C5,enzyme_named,"Covariate row: temperature optimum 40 deg C, assayed at pH 8.",BaAXE showed optimal activity at pH 8 and 40 °C.
BMA6514460C1,PMC12960341,pH stability,10.0,10.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,'retains over 90% activity after 30 min incubation at pH 10.0'.,1A) and retains over 90% activity after 30 min incubation at pH 10.0 (Fig.
BMA7FF240F0C,PMC10385968,pH stability,8.0,8.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,'favorable pH stability between pH 8 to pH 11 ... retained at least 80% activity'. Lower endpoint of range group R-10385968-a.,"EstD04 exhibited favorable pH stability between pH 8 to pH 11, in which the enzyme retained at least 80% activity."
BMAD704A1BA4,PMC10146679,thermostability,7.0,40.0,EXCLUDE,PH-X9,measurement_type_unsupported,Same sentence; 40 is the other profile boundary.,"At pH 7.0, the activity of BbPETaseCD increased from 30 °C to 40 °C, and then decreased when the temperature increased to 50 °C, indicating the poor stability of BbPETaseCD at high temperature."
BMAFA2119D8D,PMC9709933,pH stability,11.0,11.0,KEEP,PH-C3;PH-C7,outcome_recovered;direction_set,55% residual after 1 h at pH 11.0.,The enzyme retained 74% activity at pH 4.0 and 55% activity at pH 11.0 after 1 h of incubation at room temperature.
BMB113AB078A,PMC10146132,pH stability,3.0,3.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,"'less stable when pH was 3.0 to 5.0 ... lost when pH was 3.0 ... less than 50% when pH was 4.0 to 5.0'. A destabilising range, not a point.","As for the pH stability of KoFAE, it can be seen in Figure 4D that the enzyme activity was less stable when pH was 3.0 to 5.0, the enzyme activity was lost when pH was 3.0, and the stability was less than 50% when pH was 4.0 to 5.0."
BMB86BE59C99,PMC12115826,temperature optimum,5.0,30.0,EXCLUDE,PH-X6,off_target_enzyme_class,"Cytochrome P450BM3 monooxygenase degrading gossypol, a plant polyphenol. Neither the enzyme class nor the substrate is in scope.","The optimal conditions for gossypol degradation were found to be 30 °C, pH 5.0, and 90 min."
BMB8B8558C40,PMC10495362,pH stability,5.0,5.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,'it also retained high activities (50%) at pH 5' -- the article's own enzyme.,"However, it also retained high activities (50%) at pH 5 (Fig."
BMBE4B247046,PMC10385968,pH optimum,8.0,8.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'The optimal pH for EstD04 activity was pH 8.',The optimal pH for EstD04 activity was pH 8.
BMBF693ED6C8,PMC13035632,pH optimum,3.5,3.5,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'LipC displayed optimal activity at pH 3.5' -- acidophilic lipase.,LipC displayed optimal activity at pH 3.5.
BMC0FC218AB8,PMC13220297,pH stability,4.5,4.5,EXCLUDE,PH-X6,off_target_enzyme_class,Same invertase article.,"The enzyme immobilized on PHB demonstrated greater stability at pH values between 5.0 and 6.0, whereas at pH 4.5 and pH 6.5, it retained approximately 50% of its activity."
BMC31B27FC98,PMC11651597,pH stability,10.0,10.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,'only 51% residual activity observed after one h' at pH 10.,"However, exposure to pH 10 resulted in a marked decrease in activity, with only 51% residual activity observed after one h, and further decline to 22% at pH 11."
BMC3719577E5,PMC9839772,thermostability,8.0,70.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,"Same methods sentence; 70 deg C is the highest temperature tested, recorded as a thermostability value.","Next, 0.4 mg of the enzyme was incubated in 1 mL of 100 mM KH2PO4 buffer (pH 8.0) at 50, 55, 60, 65 and 70 °C for 3, 6, 9, and 12 h, followed by determining the residual activity."
BMC71D9F94EF,PMC10385968,pH optimum,8.0,8.0,EXCLUDE,PH-X10,duplicate_measurement,"pH optimum 8.0 for EstD04 restated in the kinetics sentence -- same enzyme, paper, type and value as BMBE4B247046, which comes from the direct statement.","By using the optimal conditions for its function, we analyzed the kinetics of EstD04 for the hydrolysis of C4 substrates at 40 °C and pH 8."
BMD363C6A8E6,PMC12741466,pH optimum,7.0,7.0,KEEP,PH-C1;PH-C5;PH-C6;PH-C7,optimum_corrected;enzyme_named;range_bounds_set;direction_set,"'The optimal pH for PCLase0801 activity was determined to be 8.0, with relatively high activity maintained between pH 7.0 and 9.0'. Recorded optimum 7.0 was the range low end; corrected to 8.0.","The optimal pH for PCLase0801 activity was determined to be 8.0, with relatively high enzyme activity maintained between pH 7.0 and 9.0 (Figure 3C)."
BMDC3A7C490D,PMC12734981,pH optimum,8.0,8.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,"'The maximum activity was observed at pH 8.0, indicating that PanLipdN is an alkaline-preferring lipase'. enzyme_name corrected CALB -> PanLipdN.","The maximum activity was observed at pH 8.0, indicating that PanLipΔN is an alkaline-preferring lipase."
BMDDBDC51F4A,PMC12115826,pH optimum,5.0,5.0,EXCLUDE,PH-X6,off_target_enzyme_class,Same P450/gossypol article.,"The optimal conditions for gossypol degradation were found to be 30 °C, pH 5.0, and 90 min."
BMDFDCB2C50A,PMC11651597,pH optimum,5.0,5.0,KEEP,PH-C1;PH-C5;PH-C6;PH-C7,optimum_corrected;enzyme_named;range_bounds_set;direction_set,"Recorded pH optimum 5.0 was the LOW END of the activity range. The same sentence states 'optimal activity observed at pH 7'. Optimum corrected 5.0 -> 7.0, active range 5.0-9.0 retained as bounds.","The recombinant lipase exhibited activity across a wide pH spectrum, ranging from pH 5 to pH 9, with optimal activity observed at pH 7 (Fig 5A)."
BME3583FB244,PMC10418727,pH stability,7.0,7.0,KEEP,PH-C2;PH-C5;PH-C7,type_reclassified;enzyme_named;direction_set,"'EaEst2 showed its maximal activity at pH 7.0' is a pH OPTIMUM, not pH stability.","EaEst2 showed its maximal activity at pH 7.0, whereas only ~40% of its maximal activity was retained at pH 8.0 (Figure 2C)."
BME50151456E,PMC12896513,pH optimum,7.0,7.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,"'rEST-24 esterase exhibited maximum activity at pH 7.0 only'. The co-named rEST-28 has a different reported optimum (6.0-7.0), so the row is attributed to rEST-24.","The rEST-24 esterase exhibited maximum activity at pH 7.0 only, whereas rEST-28 exhibited maximum activity at pH 6.0–7.0 (Figure 2a)."
BME71810CC95,PMC12428281,pH optimum,8.0,8.0,KEEP,PH-C5;PH-C6;PH-C7,enzyme_named;range_bounds_set;direction_set,"'the optimal pH was 8.0, and DehpH showed relatively high activity ranging from pH 6.0 to pH 9.0'.","The results indicated that the optimal pH was 8.0, and DehpH showed relatively high activity ranging from pH 6.0 to pH 9.0."
BME732B05FC1,PMC10003648,pH stability,5.0,5.0,EXCLUDE,PH-X3,enzyme_attribution_mismatch,"Accession P26495 is PhaZ, but the evidence sentence is about LIP4: 'LIP4 retained more activity (>80%) at pH 5.0-6.0'. A tier-A sequence misattribution -- the worst class of defect a benchmark can carry.","However, LIP4 retained more activity (>80%) atpH 5.0–6.0 compared with activity at an alkaline pH 8.0–10.0 (<40%)."
BME7E3DA9213,PMC12428281,pH stability,3.0,3.0,KEEP,PH-C2;PH-C5;PH-C6;PH-C7,type_reclassified;enzyme_named;range_bounds_set;direction_set,"'activity decreased significantly under acid conditions (pH 3.0 to 6.0) and almost lost all of its activity under pH 3.0'. The loss is qualitative -- the sentence gives no percentage -- so no outcome value is recorded, only the direction.","After incubation at 4 °C under different pH for 1 h, the activity of DehpH decreased significantly under acid conditions (pH 3.0 to 6.0), and DehpH almost lost all of its activity under pH 3.0, while DehpH retained more than 70.0% residual activity under pH 7.0 to 9.0 (Figure 4B)."
BME8E31FAE60,PMC8971842,pH stability,12.0,12.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,"'PCLase I showed remarkable stability at pH 12.0 with activity of approximately 100%'. Attributed to PCLase I, which the sentence names for this value.","PCLase I and PCLase II were stable at pH conditions ranging from 6.0 to 12.0, and PCLase I showed remarkable stability at pH 12.0 with activity of approximately 100% (Figure 2D)."
BME948DB4347,PMC13323979,temperature optimum,6.8,40.0,KEEP,,,Covariate row: temperature optimum 40-55 deg C at pH 6.8.,The results revealed that PS lipase (PS) and FM-10 lipase (FM-10) exhibited the best catalytic and hydrolytic activity with optimal reaction conditions of T = 40-55 °C and pH = 6.8 (Supplementary Figs.
BMEEB3F89D6F,PMC10599323,pH stability,6.5,6.5,EXCLUDE,PH-X7,secondhand_or_review,'The AUTHORS FOUND that the pH of the solution dropped ...' in a review article; restates another study's observation.,"The authors found that the pH of the solution dropped during degradation due to lactic acid formation; enzyme denaturization occurred below pH 6.5, impeding further degradation until the solution was refreshed."
BMEF46DA6C6C,PMC13316681,thermostability,5.0,70.0,EXCLUDE,PH-X11;PH-X7;PH-X3,garbled_table_extraction;secondhand_or_review;enzyme_attribution_mismatch,Same garbled review table cell.,"BHET, MHET oligomers; feruloyl estersComparable PET powder hydrolysis to wild-type bacterial IsPETase and LCC; higher activity on BHET and MHET than on polymer70 °C/broad pH 5–8; thermostable at 60 °C for prolonged incubationUnique flexible lid domain (three α-helices, two anti-parallel β-strands) enhances substrate binding;"
BMF2FE995DB3,PMC11055803,pH stability,10.0,10.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,'The pure enzyme retains its activity after 3 h at pH 10 above 85%'. The trailing clause ('but its activity decreases to below 50%') has no stated condition and is not used.,"The pure enzyme retains its activity after 3 h at pH 10 above 85%, but its activity decreases to below 50%."
BMF54859EFAF,PMC11651597,pH stability,6.0,6.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,Lower endpoint of the same range statement as BM0D67FCB6F6 (range group R-11651597-a). Kept as a separate endpoint row to match Luke's one-row-per-endpoint convention for pH ranges.,"Fig 5A illustrates that it remained stable between pH 6 and pH 9, retaining between 89% and 97% of its residual activity after 1 h of incubation at 35°C."
BMF8D20A14F6,PMC10385968,pH stability,11.0,11.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,Upper endpoint of range group R-10385968-a.,"EstD04 exhibited favorable pH stability between pH 8 to pH 11, in which the enzyme retained at least 80% activity."
BMFA666F5868,PMC10146132,pH stability,8.0,8.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,"'pH 8.0, the best stability of enzyme activity, could retain about 80%'.","A pH of 6.0~10.0 had good stability, the retained enzyme activity was more than 60%, and pH 8.0, the best stability of enzyme activity, could retain about 80% of enzyme activity."
BMFAB6DCB606,PMC11611003,temperature optimum,7.0,30.0,KEEP,PH-C5,enzyme_named,Covariate row: temperature optimum 30 deg C at pH 7.0 on BHET.,"The optimum conditions showed that at 30°C, pH 7.0 (BHET as substrate) or pH 8.0 (PET film as substrate), SbPETase showed the highest activity (Fig."
BMFBD1521130,PMC11651597,pH stability,6.0,6.0,KEEP,PH-C2;PH-C3;PH-C5,type_reclassified;outcome_recovered;enzyme_named,"Same sentence as BM499AE86AAE, pH 6 point. Reclassified to pH activity.","It maintained high activity levels, retaining 93% of its activity at pH 6 and 82% at pH 8."
BMFE76762A46,PMC10927764,pH optimum,3.54,3.54,EXCLUDE,PH-X8,analytical_method_pH,"pH 3.54 is the buffer of an absorption/1H-NMR quantification method for TPA, not an enzyme assay condition.","Since TPA constitutes an important part of the degradation products, the optimal conditions for the measurement of the mixture were the buffer with pH 3.54 in combination with freeze or heat drying, as the sensitivity was very high for the 3 products in this case."
